date,gas_usage_m3,households,avg_temperature_c,tariff_rate,season
2024-01-01,422.4,128,13.2,6.1,Winter
2024-01-08,438.8,128,12.7,6.1,Winter
2024-01-15,451.3,129,11.8,6.1,Winter
2024-01-22,430.5,129,14.0,6.1,Winter
2024-02-01,417.9,130,15.1,6.1,Winter
2024-02-08,409.2,130,16.0,6.1,Winter
2024-02-15,398.6,131,17.6,6.1,Winter
2024-02-22,392.1,131,18.3,6.1,Winter
2024-03-01,365.5,132,21.1,6.2,Spring
2024-03-08,354.2,132,22.4,6.2,Spring
2024-03-15,346.8,133,24.0,6.2,Spring
2024-03-22,339.7,133,25.6,6.2,Spring
2024-04-01,318.4,134,28.2,6.2,Spring
2024-04-08,309.6,134,29.1,6.2,Spring
2024-04-15,304.9,135,30.4,6.2,Spring
2024-04-22,312.5,135,31.2,6.2,Spring
2024-05-01,286.3,136,33.6,6.3,Summer
2024-05-08,279.8,136,34.2,6.3,Summer
2024-05-15,274.2,137,35.0,6.3,Summer
2024-05-22,281.9,137,34.7,6.3,Summer
2024-06-01,296.7,138,32.5,6.3,Summer
2024-06-08,301.5,138,31.8,6.3,Summer
2024-06-15,315.1,139,30.6,6.3,Summer
2024-06-22,326.9,139,29.5,6.3,Summer
2024-07-01,348.2,140,27.2,6.4,Monsoon
2024-07-08,356.4,140,26.9,6.4,Monsoon
2024-07-15,366.7,141,26.1,6.4,Monsoon
2024-07-22,372.8,141,25.8,6.4,Monsoon
2024-08-01,384.3,142,25.4,6.4,Monsoon
2024-08-08,391.6,142,24.9,6.4,Monsoon
2024-08-15,399.8,143,24.2,6.4,Monsoon
2024-08-22,407.1,143,23.7,6.4,Monsoon
2024-09-01,418.6,144,22.4,6.5,Autumn
2024-09-08,426.2,144,21.8,6.5,Autumn
2024-09-15,434.9,145,20.9,6.5,Autumn
2024-09-22,448.3,145,19.8,6.5,Autumn
